Date,BankNifty,Nifty
17-05-2016,40,75
18-05-2016,40,75
19-05-2016,40,75
20-05-2016,40,75
21-05-2016,40,75
22-05-2016,40,75
23-05-2016,40,75
24-05-2016,40,75
25-05-2016,40,75
26-05-2016,40,75
27-05-2016,40,75
28-05-2016,40,75
29-05-2016,40,75
30-05-2016,40,75
31-05-2016,40,75
01-06-2016,40,75
02-06-2016,40,75
03-06-2016,40,75
04-06-2016,40,75
05-06-2016,40,75
06-06-2016,40,75
07-06-2016,40,75
08-06-2016,40,75
09-06-2016,40,75
10-06-2016,40,75
11-06-2016,40,75
12-06-2016,40,75
13-06-2016,40,75
14-06-2016,40,75
15-06-2016,40,75
16-06-2016,40,75
17-06-2016,40,75
18-06-2016,40,75
19-06-2016,40,75
20-06-2016,40,75
21-06-2016,40,75
22-06-2016,40,75
23-06-2016,40,75
24-06-2016,40,75
25-06-2016,40,75
26-06-2016,40,75
27-06-2016,40,75
28-06-2016,40,75
29-06-2016,40,75
30-06-2016,40,75
01-07-2016,40,75
02-07-2016,40,75
03-07-2016,40,75
04-07-2016,40,75
05-07-2016,40,75
06-07-2016,40,75
07-07-2016,40,75
08-07-2016,40,75
09-07-2016,40,75
10-07-2016,40,75
11-07-2016,40,75
12-07-2016,40,75
13-07-2016,40,75
14-07-2016,40,75
15-07-2016,40,75
16-07-2016,40,75
17-07-2016,40,75
18-07-2016,40,75
19-07-2016,40,75
20-07-2016,40,75
21-07-2016,40,75
22-07-2016,40,75
23-07-2016,40,75
24-07-2016,40,75
25-07-2016,40,75
26-07-2016,40,75
27-07-2016,40,75
28-07-2016,40,75
29-07-2016,40,75
30-07-2016,40,75
31-07-2016,40,75
01-08-2016,40,75
02-08-2016,40,75
03-08-2016,40,75
04-08-2016,40,75
05-08-2016,40,75
06-08-2016,40,75
07-08-2016,40,75
08-08-2016,40,75
09-08-2016,40,75
10-08-2016,40,75
11-08-2016,40,75
12-08-2016,40,75
13-08-2016,40,75
14-08-2016,40,75
15-08-2016,40,75
16-08-2016,40,75
17-08-2016,40,75
18-08-2016,40,75
19-08-2016,40,75
20-08-2016,40,75
21-08-2016,40,75
22-08-2016,40,75
23-08-2016,40,75
24-08-2016,40,75
25-08-2016,40,75
26-08-2016,40,75
27-08-2016,40,75
28-08-2016,40,75
29-08-2016,40,75
30-08-2016,40,75
31-08-2016,40,75
01-09-2016,40,75
02-09-2016,40,75
03-09-2016,40,75
04-09-2016,40,75
05-09-2016,40,75
06-09-2016,40,75
07-09-2016,40,75
08-09-2016,40,75
09-09-2016,40,75
10-09-2016,40,75
11-09-2016,40,75
12-09-2016,40,75
13-09-2016,40,75
14-09-2016,40,75
15-09-2016,40,75
16-09-2016,40,75
17-09-2016,40,75
18-09-2016,40,75
19-09-2016,40,75
20-09-2016,40,75
21-09-2016,40,75
22-09-2016,40,75
23-09-2016,40,75
24-09-2016,40,75
25-09-2016,40,75
26-09-2016,40,75
27-09-2016,40,75
28-09-2016,40,75
