tr_date,tr_time,tr_open,tr_high,tr_low,tr_close,tr_segment,stock_name
01-01-2019,12:19:59,27114.3,27117.45,27111.4,27113.3,4,BANKNIFTY
01-01-2019,12:20:59,27113.4,27120.95,27112.25,27120.95,4,BANKNIFTY
01-01-2019,12:21:59,27120.65,27121.1,27103.35,27111.7,4,BANKNIFTY
01-01-2019,12:22:59,27113.5,27115.85,27104.45,27108.6,4,BANKNIFTY
01-01-2019,12:23:59,27108.55,27111.2,27103.7,27108.1,4,BANKNIFTY
01-01-2019,12:24:59,27107.45,27113.1,27104.9,27106.1,4,BANKNIFTY
01-01-2019,12:25:59,27106.2,27107.5,27100.35,27101.05,4,BANKNIFTY
01-01-2019,12:26:59,27100.55,27104.55,27098.6,27100.9,4,BANKNIFTY
01-01-2019,12:27:59,27101.1,27102.6,27097.3,27099.95,4,BANKNIFTY
01-01-2019,12:28:59,27100.95,27103.7,27096.35,27096.35,4,BANKNIFTY
01-01-2019,12:29:59,27096.35,27097.45,27086.55,27087.8,4,BANKNIFTY
01-01-2019,12:30:59,27087.95,27088.45,27082.7,27086.45,4,BANKNIFTY
01-01-2019,12:31:59,27085.75,27085.95,27071.8,27072.45,4,BANKNIFTY
01-01-2019,12:32:59,27072.45,27072.85,27065,27065.45,4,BANKNIFTY
01-01-2019,12:33:59,27065.45,27070.05,27061.4,27065.85,4,BANKNIFTY
01-01-2019,12:34:59,27066.4,27071.25,27063,27068.2,4,BANKNIFTY
01-01-2019,12:35:59,27068.9,27075.35,27066.75,27069.6,4,BANKNIFTY
01-01-2019,12:36:59,27071.65,27074.1,27060.4,27065,4,BANKNIFTY
01-01-2019,12:37:59,27066.4,27072.3,27062.95,27072.3,4,BANKNIFTY
01-01-2019,12:38:59,27071.65,27072.8,27066.3,27072.45,4,BANKNIFTY
01-01-2019,12:39:59,27072.05,27083,27070.4,27078.85,4,BANKNIFTY
01-01-2019,12:40:59,27078.15,27082.55,27075.6,27081.2,4,BANKNIFTY
01-01-2019,12:41:59,27078.1,27079.05,27074,27076.3,4,BANKNIFTY
01-01-2019,12:42:59,27075.1,27078.7,27072.65,27075.2,4,BANKNIFTY
01-01-2019,12:43:59,27076.3,27082.85,27075.45,27080.15,4,BANKNIFTY
01-01-2019,12:44:59,27079.15,27079.15,27070.75,27074.3,4,BANKNIFTY
01-01-2019,12:45:59,27072.8,27081.7,27072.8,27076,4,BANKNIFTY
01-01-2019,12:46:59,27075.95,27081.3,27071.75,27071.75,4,BANKNIFTY
01-01-2019,12:47:59,27073.05,27074.1,27064.1,27064.75,4,BANKNIFTY
01-01-2019,12:48:59,27067.8,27067.8,27057.9,27057.9,4,BANKNIFTY
01-01-2019,12:49:59,27059.1,27061.15,27054.75,27060.05,4,BANKNIFTY
01-01-2019,12:50:59,27060.05,27069.7,27056.25,27069.3,4,BANKNIFTY
01-01-2019,12:51:59,27068.4,27068.55,27059.8,27066.85,4,BANKNIFTY
01-01-2019,12:52:59,27066.3,27068,27064.25,27064.8,4,BANKNIFTY
01-01-2019,12:53:59,27065.2,27068.65,27061.45,27063.95,4,BANKNIFTY
01-01-2019,12:54:59,27064.35,27071.65,27062.9,27068.4,4,BANKNIFTY
01-01-2019,12:55:59,27068.4,27076.1,27067.35,27072.5,4,BANKNIFTY
01-01-2019,12:56:59,27072.05,27075.35,27070.95,27073.95,4,BANKNIFTY
01-01-2019,12:57:59,27071.75,27074.05,27068.6,27070.55,4,BANKNIFTY
01-01-2019,12:58:59,27070.1,27070.1,27061.95,27062.55,4,BANKNIFTY
01-01-2019,12:59:59,27062.3,27065.1,27061.5,27062.2,4,BANKNIFTY
01-01-2019,13:00:59,27062.35,27066.7,27059.5,27066.7,4,BANKNIFTY
