tr_date,tr_time,tr_close,stock_name,strike_price,otype,entry_price,target,stoploss,exit_time,exit_price,exit_type,Lot_Size
2019-01-01,09:18:59,205.8,BANKNIFTY,27100,CE,205.8,102.9,308.70000000000005,14:58:59,308.7,STOPLOSS,20
2019-01-01,09:18:59,122.05,BANKNIFTY,27100,PE,122.05,61.025,183.075,14:35:59,61.025,TARGET,20
2019-01-02,09:18:59,173.45,BANKNIFTY,27200,CE,173.45,86.725,260.17499999999995,10:21:59,260.175,STOPLOSS,20
2019-01-02,09:18:59,83.85,BANKNIFTY,27200,PE,83.85,41.925,125.77499999999999,12:45:59,125.775,STOPLOSS,20
2019-01-03,09:18:59,105.05,BANKNIFTY,27100,CE,105.05,52.525,157.575,11:33:59,52.525,TARGET,20
2019-01-03,09:18:59,65.25,BANKNIFTY,27100,PE,65.25,32.625,97.875,11:32:59,97.875,STOPLOSS,20
